experiment,scenario,session,mean_joint_risk,mean_disruption,mean_learning_loss,intervention_rate,stop_rate
w_a0.75_b0.35_g0.55,forklift,0,0.306926788592511,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,forklift,1,0.3102641005436842,0.036000000000000004,0.036000000000000004,0.225,0.0
w_a0.75_b0.35_g0.55,forklift,2,0.3113965527925932,0.03866666666666666,0.03866666666666666,0.24166666666666667,0.0
w_a0.75_b0.35_g0.55,forklift,3,0.31207126701959165,0.036000000000000004,0.036000000000000004,0.225,0.0
w_a0.75_b0.35_g0.55,forklift,4,0.307127800326093,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,forklift,5,0.3023489493227918,0.04,0.04,0.25,0.0
w_a0.75_b0.35_g0.55,forklift,6,0.31388425095079886,0.037333333333333336,0.037333333333333336,0.23333333333333334,0.0
w_a0.75_b0.35_g0.55,forklift,7,0.3010743775476943,0.04266666666666667,0.04266666666666667,0.26666666666666666,0.0
w_a0.75_b0.35_g0.55,forklift,8,0.3051251698439523,0.044000000000000004,0.044000000000000004,0.275,0.0
w_a0.75_b0.35_g0.55,forklift,9,0.30655582295274536,0.04133333333333334,0.04133333333333334,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,forklift,10,0.3047260511995053,0.037333333333333336,0.037333333333333336,0.23333333333333334,0.0
w_a0.75_b0.35_g0.55,forklift,11,0.3049074167881323,0.03333333333333333,0.03333333333333333,0.20833333333333334,0.0
w_a0.75_b0.35_g0.55,forklift,12,0.3076225582544312,0.04133333333333334,0.04133333333333334,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,forklift,13,0.3087467807785131,0.04000000000000001,0.04000000000000001,0.25,0.0
w_a0.75_b0.35_g0.55,forklift,14,0.306520268515659,0.04133333333333334,0.04133333333333334,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,forklift,15,0.30938047073757496,0.03333333333333333,0.03333333333333333,0.20833333333333334,0.0
w_a0.75_b0.35_g0.55,forklift,16,0.3085039292278932,0.044000000000000004,0.044000000000000004,0.275,0.0
w_a0.75_b0.35_g0.55,forklift,17,0.30142241100847605,0.04533333333333333,0.04533333333333333,0.2833333333333333,0.0
w_a0.75_b0.35_g0.55,forklift,18,0.3023683662595664,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,forklift,19,0.3002579114564551,0.048,0.048,0.3,0.0
w_a0.75_b0.35_g0.55,forklift,20,0.30733998960297376,0.042666666666666665,0.042666666666666665,0.26666666666666666,0.0
w_a0.75_b0.35_g0.55,forklift,21,0.31103713911726366,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,forklift,22,0.31198194337072754,0.037333333333333336,0.037333333333333336,0.23333333333333334,0.0
w_a0.75_b0.35_g0.55,forklift,23,0.3083514582786048,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,forklift,24,0.30450144714902244,0.04133333333333334,0.04133333333333334,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,forklift,25,0.3058127640696658,0.04133333333333334,0.04133333333333334,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,forklift,26,0.3110824226982881,0.032,0.032,0.2,0.0
w_a0.75_b0.35_g0.55,forklift,27,0.3108144482212167,0.029333333333333336,0.029333333333333336,0.18333333333333332,0.0
w_a0.75_b0.35_g0.55,forklift,28,0.30902416110056663,0.037333333333333336,0.037333333333333336,0.23333333333333334,0.0
w_a0.75_b0.35_g0.55,forklift,29,0.3131978594822798,0.036000000000000004,0.036000000000000004,0.225,0.0
w_a0.75_b0.35_g0.55,forklift,30,0.3100032790796473,0.04,0.04,0.25,0.0
w_a0.75_b0.35_g0.55,forklift,31,0.3130527440680435,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,forklift,32,0.31218783491539787,0.04000000000000001,0.04000000000000001,0.25,0.0
w_a0.75_b0.35_g0.55,forklift,33,0.30664508860004047,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,forklift,34,0.3047831062426695,0.04133333333333334,0.04133333333333334,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,forklift,35,0.30971450661739935,0.042666666666666665,0.042666666666666665,0.26666666666666666,0.0
w_a0.75_b0.35_g0.55,forklift,36,0.3078717774037115,0.042666666666666665,0.042666666666666665,0.26666666666666666,0.0
w_a0.75_b0.35_g0.55,forklift,37,0.3012295189489379,0.044000000000000004,0.044000000000000004,0.275,0.0
w_a0.75_b0.35_g0.55,forklift,38,0.2986222998261923,0.04533333333333333,0.04533333333333333,0.2833333333333333,0.0
w_a0.75_b0.35_g0.55,forklift,39,0.3014455964671798,0.042666666666666665,0.042666666666666665,0.26666666666666666,0.0
w_a0.75_b0.35_g0.55,crane,0,0.3073587606886278,0.032,0.032,0.2,0.0
w_a0.75_b0.35_g0.55,crane,1,0.2949716074953868,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,crane,2,0.2985934395201942,0.042666666666666665,0.042666666666666665,0.26666666666666666,0.0
w_a0.75_b0.35_g0.55,crane,3,0.3070993724679666,0.032,0.032,0.2,0.0
w_a0.75_b0.35_g0.55,crane,4,0.30729830446539064,0.037333333333333336,0.037333333333333336,0.23333333333333334,0.0
w_a0.75_b0.35_g0.55,crane,5,0.29999312140369877,0.036000000000000004,0.036000000000000004,0.225,0.0
w_a0.75_b0.35_g0.55,crane,6,0.29757959753315644,0.04266666666666667,0.04266666666666667,0.26666666666666666,0.0
w_a0.75_b0.35_g0.55,crane,7,0.30664700610285667,0.03333333333333333,0.03333333333333333,0.20833333333333334,0.0
w_a0.75_b0.35_g0.55,crane,8,0.30304006871445,0.04266666666666666,0.04266666666666666,0.26666666666666666,0.0
w_a0.75_b0.35_g0.55,crane,9,0.29879066275570926,0.036000000000000004,0.036000000000000004,0.225,0.0
w_a0.75_b0.35_g0.55,crane,10,0.3043396827534399,0.034666666666666665,0.034666666666666665,0.21666666666666667,0.0
w_a0.75_b0.35_g0.55,crane,11,0.3035955742206026,0.04133333333333334,0.04133333333333334,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,crane,12,0.30025831734942265,0.03866666666666667,0.03866666666666667,0.24166666666666667,0.0
w_a0.75_b0.35_g0.55,crane,13,0.30294480198221835,0.03866666666666667,0.03866666666666667,0.24166666666666667,0.0
w_a0.75_b0.35_g0.55,crane,14,0.2935477760675831,0.044583333333333336,0.04441666666666667,0.2833333333333333,0.0
w_a0.75_b0.35_g0.55,crane,15,0.3030610435377026,0.034666666666666665,0.034666666666666665,0.21666666666666667,0.0
w_a0.75_b0.35_g0.55,crane,16,0.30811535609799967,0.03866666666666667,0.03866666666666667,0.24166666666666667,0.0
w_a0.75_b0.35_g0.55,crane,17,0.30530774747074785,0.03791666666666667,0.03775,0.24166666666666667,0.0
w_a0.75_b0.35_g0.55,crane,18,0.3016016223332379,0.037333333333333336,0.037333333333333336,0.23333333333333334,0.0
w_a0.75_b0.35_g0.55,crane,19,0.30442041253779534,0.04133333333333334,0.04133333333333334,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,crane,20,0.31248380683829485,0.036000000000000004,0.036000000000000004,0.225,0.0
w_a0.75_b0.35_g0.55,crane,21,0.30733701831745996,0.03333333333333333,0.03333333333333333,0.20833333333333334,0.0
w_a0.75_b0.35_g0.55,crane,22,0.29642368031086713,0.04533333333333333,0.04533333333333333,0.2833333333333333,0.0
w_a0.75_b0.35_g0.55,crane,23,0.3046484568962431,0.04,0.04,0.25,0.0
w_a0.75_b0.35_g0.55,crane,24,0.3006247942128327,0.04133333333333334,0.04133333333333334,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,crane,25,0.2969447431362168,0.044000000000000004,0.044000000000000004,0.275,0.0
w_a0.75_b0.35_g0.55,crane,26,0.2981078272441149,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,crane,27,0.2971063565411125,0.04000000000000001,0.04000000000000001,0.25,0.0
w_a0.75_b0.35_g0.55,crane,28,0.30150835635168083,0.03866666666666667,0.03866666666666667,0.24166666666666667,0.0
w_a0.75_b0.35_g0.55,crane,29,0.30093003482261615,0.04000000000000001,0.04000000000000001,0.25,0.0
w_a0.75_b0.35_g0.55,crane,30,0.3033037088827614,0.04000000000000001,0.04000000000000001,0.25,0.0
w_a0.75_b0.35_g0.55,crane,31,0.3031653382132976,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,crane,32,0.2980834873143576,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,crane,33,0.30249426146936215,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,crane,34,0.3049634276754793,0.037333333333333336,0.037333333333333336,0.23333333333333334,0.0
w_a0.75_b0.35_g0.55,crane,35,0.3017806190848015,0.03866666666666667,0.03866666666666667,0.24166666666666667,0.0
w_a0.75_b0.35_g0.55,crane,36,0.29963393309626507,0.03866666666666667,0.03866666666666667,0.24166666666666667,0.0
w_a0.75_b0.35_g0.55,crane,37,0.2911220669848164,0.04666666666666666,0.04666666666666666,0.2916666666666667,0.0
w_a0.75_b0.35_g0.55,crane,38,0.31085712273141675,0.037333333333333336,0.037333333333333336,0.23333333333333334,0.0
w_a0.75_b0.35_g0.55,crane,39,0.2838660405869077,0.048,0.048,0.3,0.0
w_a0.75_b0.35_g0.55,substation,0,0.3125485740930383,0.036000000000000004,0.036000000000000004,0.225,0.0
w_a0.75_b0.35_g0.55,substation,1,0.3098925266738386,0.032,0.032,0.2,0.0
w_a0.75_b0.35_g0.55,substation,2,0.303510318270348,0.03866666666666667,0.03866666666666667,0.24166666666666667,0.0
w_a0.75_b0.35_g0.55,substation,3,0.29919377324879703,0.04533333333333333,0.04533333333333333,0.2833333333333333,0.0
w_a0.75_b0.35_g0.55,substation,4,0.30807162211132455,0.03333333333333333,0.03333333333333333,0.20833333333333334,0.0
w_a0.75_b0.35_g0.55,substation,5,0.30286035644713016,0.042666666666666665,0.042666666666666665,0.26666666666666666,0.0
w_a0.75_b0.35_g0.55,substation,6,0.30750085381667314,0.034666666666666665,0.034666666666666665,0.21666666666666667,0.0
w_a0.75_b0.35_g0.55,substation,7,0.3032585722350321,0.03866666666666667,0.03866666666666667,0.24166666666666667,0.0
w_a0.75_b0.35_g0.55,substation,8,0.30539639708250144,0.04,0.04,0.25,0.0
w_a0.75_b0.35_g0.55,substation,9,0.30645731052531827,0.04133333333333334,0.04133333333333334,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,substation,10,0.30235054732897015,0.037333333333333336,0.037333333333333336,0.23333333333333334,0.0
w_a0.75_b0.35_g0.55,substation,11,0.29960511632877657,0.044000000000000004,0.044000000000000004,0.275,0.0
w_a0.75_b0.35_g0.55,substation,12,0.3067649564790417,0.04133333333333334,0.04133333333333334,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,substation,13,0.3103494145698285,0.04,0.04,0.25,0.0
w_a0.75_b0.35_g0.55,substation,14,0.305093955268726,0.036000000000000004,0.036000000000000004,0.225,0.0
w_a0.75_b0.35_g0.55,substation,15,0.3045561461655648,0.037333333333333336,0.037333333333333336,0.23333333333333334,0.0
w_a0.75_b0.35_g0.55,substation,16,0.30013678776081687,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,substation,17,0.30460196699419945,0.04133333333333334,0.04133333333333334,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,substation,18,0.30082745471818917,0.04666666666666666,0.04666666666666666,0.2916666666666667,0.0
w_a0.75_b0.35_g0.55,substation,19,0.3054665190959257,0.04133333333333333,0.04133333333333333,0.25833333333333336,0.0
w_a0.75_b0.35_g0.55,substation,20,0.3053511495960046,0.04,0.04,0.25,0.0
w_a0.75_b0.35_g0.55,substation,21,0.30282632048680885,0.044000000000000004,0.044000000000000004,0.275,0.0
w_a0.75_b0.35_g0.55,substation,22,0.30726000642916274,0.036000000000000004,0.036000000000000004,0.225,0.0
w_a0.75_b0.35_g0.55,substation,23,0.3046622214282758,0.04,0.04,0.25,0.0
w_a0.75_b0.35_g0.55,substation,24,0.2981301807128685,0.044000000000000004,0.044000000000000004,0.275,0.0
w_a0.75_b0.35_g0.55,substation,25,0.302538228254336,0.03866666666666667,0.03866666666666667,0.24166666666666667,0.0
w_a0.75_b0.35_g0.55,substation,26,0.3067399287217483,0.03866666666666667,0.03866666666666667,0.24166666666666667,0.0
w_a0.75_b0.35_g0.55,substation,27,0.31222789739098217,0.03866666666666666,0.03866666666666666,0.24166666666666667,0.0
w_a0.75_b0.35_g0.55,substation,28,0.29430428263700104,0.04533333333333333,0.04533333333333333,0.2833333333333333,0.0
w_a0.75_b0.35_g0.55,substation,29,0.3008287212654313,0.04,0.04,0.25,0.0
w_a0.75_b0.35_g0.55,substation,30,0.30927328585673375,0.04,0.04,0.25,0.0
w_a0.75_b0.35_g0.55,substation,31,0.3136241024399285,0.034666666666666665,0.034666666666666665,0.21666666666666667,0.0
