experiment,session,mean_joint_risk,mean_disruption,mean_learning_loss,intervention_rate,stop_rate
ablation_learning_off,19.5,0.30982561352969357,0.02495486111111111,0.04491875,0.2495486111111111,0.0
ablation_learning_on,19.5,0.3223036305264797,0.01746840277777778,0.012477430555555556,0.2495486111111111,0.0
action_scale_0.70,19.5,0.33240976283524915,0.01746840277777778,0.012477430555555556,0.2495486111111111,0.0
action_scale_0.85,19.5,0.32735640346024913,0.01746840277777778,0.012477430555555556,0.2495486111111111,0.0
action_scale_1.00,19.5,0.3223036305264797,0.01746840277777778,0.012477430555555556,0.2495486111111111,0.0
action_scale_1.15,19.5,0.29625566953250665,0.039373611111111116,0.03925694444444445,0.2495486111111111,0.0
action_scale_1.30,19.5,0.2892660887090182,0.03869444444444445,0.03845277777777778,0.2495486111111111,0.0
w_a0.75_b0.35_g0.55,19.5,0.3035994949426705,0.039916319444444445,0.039917013888888894,0.2495486111111111,0.0
w_a0.75_b0.35_g1.1,19.5,0.3223036305264797,0.01746840277777778,0.012477430555555556,0.2495486111111111,0.0
w_a0.75_b0.35_g1.65,19.5,0.3223036305264797,0.01746840277777778,0.012477430555555556,0.2495486111111111,0.0
w_a0.75_b0.7_g0.55,19.5,0.30361691251850914,0.03989340277777778,0.03988576388888889,0.2495486111111111,0.0
w_a0.75_b0.7_g1.1,19.5,0.3223036305264797,0.01746840277777778,0.012477430555555556,0.2495486111111111,0.0
w_a0.75_b0.7_g1.65,19.5,0.3223043966665211,0.017467708333333335,0.012476736111111112,0.2495486111111111,0.0
w_a0.75_b1.05_g0.55,19.5,0.3223036305264797,0.01746840277777778,0.012477430555555556,0.2495486111111111,0.0
w_a0.75_b1.05_g1.1,19.5,0.3223043966665211,0.017467708333333335,0.012476736111111112,0.2495486111111111,0.0
w_a0.75_b1.05_g1.65,19.5,0.3223043966665211,0.017467708333333335,0.012476736111111112,0.2495486111111111,0.0
w_a1.15_b0.35_g0.55,19.5,0.3035948619399795,0.039913194444444446,0.03993263888888889,0.2495486111111111,0.0
w_a1.15_b0.35_g1.1,19.5,0.30361691251850914,0.03989340277777778,0.03988576388888889,0.2495486111111111,0.0
w_a1.15_b0.35_g1.65,19.5,0.3223036305264797,0.01746840277777778,0.012477430555555556,0.2495486111111111,0.0
w_a1.15_b0.7_g0.55,19.5,0.3035972288550563,0.03990486111111111,0.03993541666666667,0.2495486111111111,0.0
w_a1.15_b0.7_g1.1,19.5,0.3223036305264797,0.01746840277777778,0.012477430555555556,0.2495486111111111,0.0
w_a1.15_b0.7_g1.65,19.5,0.3223043966665211,0.017467708333333335,0.012476736111111112,0.2495486111111111,0.0
w_a1.15_b1.05_g0.55,19.5,0.30982561352969357,0.02495486111111111,0.04491875,0.2495486111111111,0.0
w_a1.15_b1.05_g1.1,19.5,0.3223036305264797,0.01746840277777778,0.012477430555555556,0.2495486111111111,0.0
w_a1.15_b1.05_g1.65,19.5,0.3223043966665211,0.017467708333333335,0.012476736111111112,0.2495486111111111,0.0
w_a1.55_b0.35_g0.55,19.5,0.3036051274185825,0.03988402777777778,0.039942361111111116,0.2495486111111111,0.0
w_a1.55_b0.35_g1.1,19.5,0.303596529714566,0.039906944444444446,0.039934722222222226,0.2495486111111111,0.0
w_a1.55_b0.35_g1.65,19.5,0.3223036305264797,0.01746840277777778,0.012477430555555556,0.2495486111111111,0.0
w_a1.55_b0.7_g0.55,19.5,0.30982561352969357,0.02495486111111111,0.04491875,0.2495486111111111,0.0
w_a1.55_b0.7_g1.1,19.5,0.30982561352969357,0.02495486111111111,0.04491875,0.2495486111111111,0.0
w_a1.55_b0.7_g1.65,19.5,0.3223036305264797,0.01746840277777778,0.012477430555555556,0.2495486111111111,0.0
w_a1.55_b1.05_g0.55,19.5,0.30982561352969357,0.02495486111111111,0.04491875,0.2495486111111111,0.0
w_a1.55_b1.05_g1.1,19.5,0.30982561352969357,0.02495486111111111,0.04491875,0.2495486111111111,0.0
w_a1.55_b1.05_g1.65,19.5,0.3223043966665211,0.017467708333333335,0.012476736111111112,0.2495486111111111,0.0
